Grid_Dimension,Number_of_Steps,Number_of_Cores,Poisson,BC,Total_Computation_Time(ms)
100x100,100,12,1,0,8993
100x100,100,12,1,0,11852
100x100,100,12,1,0,8809
100x100,100,13,1,0,415331
100x100,100,13,1,0,413442
100x100,100,13,1,0,414113
100x100,100,13,1,0,411483
100x100,100,13,1,0,416660
100x100,100,14,1,0,415863
100x100,100,14,1,0,420336
100x100,100,14,1,0,417681
100x100,100,14,1,0,418802
100x100,100,14,1,0,413694
100x100,100,1,2,0,3734
100x100,100,1,2,0,4238
100x100,100,1,2,0,4263
100x100,100,1,2,0,4299
100x100,100,1,2,0,4208
100x100,100,2,2,0,3107
100x100,100,2,2,0,5706
100x100,100,2,2,0,3097
100x100,100,2,2,0,2712
100x100,100,2,2,0,3014
100x100,100,3,2,0,3387
100x100,100,3,2,0,3318
100x100,100,3,2,0,2965
100x100,100,3,2,0,3162
100x100,100,3,2,0,3786
100x100,100,4,2,0,2335
100x100,100,4,2,0,3065
100x100,100,4,2,0,5685
100x100,100,4,2,0,2991
100x100,100,4,2,0,3118
100x100,100,5,2,0,2466
100x100,100,5,2,0,2813
100x100,100,5,2,0,2394
100x100,100,5,2,0,2914
100x100,100,5,2,0,2571
100x100,100,6,2,0,2622
100x100,100,6,2,0,2792
100x100,100,6,2,0,2634
100x100,100,6,2,0,5537
100x100,100,6,2,0,2353
100x100,100,7,2,0,2477
100x100,100,7,2,0,2639
100x100,100,7,2,0,2617
100x100,100,7,2,0,2284
100x100,100,7,2,0,2373
100x100,100,8,2,0,2280
100x100,100,8,2,0,2437
100x100,100,8,2,0,2350
100x100,100,8,2,0,2435
100x100,100,8,2,0,2335
100x100,100,9,2,0,2374
100x100,100,9,2,0,5176
100x100,100,9,2,0,2296
100x100,100,9,2,0,2324
100x100,100,9,2,0,2438
100x100,100,10,2,0,2369
100x100,100,10,2,0,2341
100x100,100,10,2,0,2234
100x100,100,10,2,0,2422
100x100,100,10,2,0,2338
100x100,100,11,2,0,2767
100x100,100,11,2,0,2800
100x100,100,11,2,0,2700
100x100,100,11,2,0,2485
100x100,100,11,2,0,5525
100x100,100,12,2,0,4244
100x100,100,12,2,0,5101
100x100,100,12,2,0,5375
100x100,100,12,2,0,5236
100x100,100,12,2,0,5147
100x100,100,13,2,0,94680
100x100,100,13,2,0,93562
100x100,100,13,2,0,90865
100x100,100,13,2,0,94014
100x100,100,13,2,0,93679
100x100,100,14,2,0,92017
100x100,100,14,2,0,95185
100x100,100,14,2,0,94648
100x100,100,14,2,0,92530
100x100,100,14,2,0,95375
100x100,100,1,3,0,1608
100x100,100,1,3,0,1548
100x100,100,1,3,0,4896
100x100,100,1,3,0,1934
100x100,100,1,3,0,1569
100x100,100,2,3,0,1223
100x100,100,2,3,0,1342
100x100,100,2,3,0,1351
100x100,100,2,3,0,1227
100x100,100,2,3,0,1212
100x100,100,3,3,0,1633
100x100,100,3,3,0,1119
100x100,100,3,3,0,1550
100x100,100,3,3,0,1558
100x100,100,3,3,0,1197
100x100,100,4,3,0,1512
100x100,100,4,3,0,1087
100x100,100,4,3,0,1454
100x100,100,4,3,0,1096
100x100,100,4,3,0,1569
100x100,100,5,3,0,1127
100x100,100,5,3,0,1472
100x100,100,5,3,0,1439
100x100,100,5,3,0,1092
100x100,100,5,3,0,4077
100x100,100,6,3,0,1388
100x100,100,6,3,0,1435
100x100,100,6,3,0,1258
100x100,100,6,3,0,1167
100x100,100,6,3,0,1390
100x100,100,7,3,0,989
100x100,100,7,3,0,1369
100x100,100,7,3,0,1170
100x100,100,7,3,0,1233
100x100,100,7,3,0,1192
100x100,100,8,3,0,1331
100x100,100,8,3,0,1387
100x100,100,8,3,0,1342
100x100,100,8,3,0,1391
100x100,100,8,3,0,1306
100x100,100,9,3,0,960
100x100,100,9,3,0,1183
100x100,100,9,3,0,1321
100x100,100,9,3,0,1318
100x100,100,9,3,0,1290
100x100,100,10,3,0,1352
100x100,100,10,3,0,1336
100x100,100,10,3,0,1444
100x100,100,10,3,0,4214
100x100,100,10,3,0,1179
100x100,100,11,3,0,1594
100x100,100,11,3,0,1695
100x100,100,11,3,0,1487
100x100,100,11,3,0,1537
100x100,100,11,3,0,1648
100x100,100,12,3,0,2532
100x100,100,12,3,0,2879
100x100,100,12,3,0,3637
100x100,100,12,3,0,2514
100x100,100,12,3,0,2980
100x100,100,13,3,0,1307
100x100,100,13,3,0,1378
100x100,100,13,3,0,1333
100x100,100,13,3,0,1275
100x100,100,13,3,0,4326
100x100,100,14,3,0,1384
100x100,100,14,3,0,1371
100x100,100,14,3,0,1392
100x100,100,14,3,0,1405
100x100,100,14,3,0,1253
100x100,100,1,0,1,1598
100x100,100,1,0,1,1568
100x100,100,1,0,1,1803
100x100,100,1,0,1,1973
100x100,100,1,0,1,1575
100x100,100,2,0,1,1166
100x100,100,2,0,1,1301
100x100,100,2,0,1,4385
100x100,100,2,0,1,1323
100x100,100,2,0,1,1089
100x100,100,3,0,1,1698
100x100,100,3,0,1,1141
100x100,100,3,0,1,1529
100x100,100,3,0,1,1111
100x100,100,3,0,1,1215
100x100,100,4,0,1,1130
100x100,100,4,0,1,1547
100x100,100,4,0,1,1440
100x100,100,4,0,1,1482
100x100,100,4,0,1,1023
100x100,100,5,0,1,1331
100x100,100,5,0,1,1442
100x100,100,5,0,1,1429
100x100,100,5,0,1,1198
100x100,100,5,0,1,1071
100x100,100,6,0,1,1146
100x100,100,6,0,1,1076
100x100,100,6,0,1,1243
100x100,100,6,0,1,1532
100x100,100,6,0,1,1193
100x100,100,7,0,1,1151
100x100,100,7,0,1,4244
100x100,100,7,0,1,1355
100x100,100,7,0,1,1348
100x100,100,7,0,1,1388
100x100,100,8,0,1,1061
100x100,100,8,0,1,1283
100x100,100,8,0,1,1347
100x100,100,8,0,1,1309
100x100,100,8,0,1,1345
100x100,100,9,0,1,1158
100x100,100,9,0,1,1117
100x100,100,9,0,1,1280
100x100,100,9,0,1,1252
100x100,100,9,0,1,1389
100x100,100,10,0,1,1400
100x100,100,10,0,1,1351
100x100,100,10,0,1,1327
100x100,100,10,0,1,1466
100x100,100,10,0,1,1321
100x100,100,11,0,1,1342
100x100,100,11,0,1,1651
100x100,100,11,0,1,1731
100x100,100,11,0,1,1474
100x100,100,11,0,1,4860
100x100,100,12,0,1,2278
100x100,100,12,0,1,2708
100x100,100,12,0,1,2685
100x100,100,12,0,1,3029
